"2020-08-25","On August 25, 2020, corrections were mainly made to the labour data series for the industries at a North American Industry Classification System (NAICS) 4-digit level of aggregation from 2018 to 2019. Territorial and provincial estimates for the total economy, business sector and non-business sector, estimates for 2 and 3-digit NAICS industries, and industrial aggregations, as well as data for years prior to 2018 were not affected."



Footnotes:
1,"This table replaces CANSIM tables 383-0029 and 383-0030, which are now archived. For concepts, methods and sources, see http://www.statcan.gc.ca/imdb-bmdi/5103-eng.htm. Data by industry included in this table correspond to the Canadian System of Macroeconomic Accounts input-output detailed level of aggregation. The table is built around the Input-Output Industry Classification (IOIC). This one identifies both Institutional Sectors and Industries based on the North American Industry Classification System (NAICS). The alphanumeric codes appearing in square brackets besides each industry title represent the IOIC identification code. The first two characters of the IOIC alphanumeric codes represent the sector. IOIC codes beginning with a BS represent Business Sector industries, codes beginning with an NP represent Non-Profit Institutions Serving Household (NPISH) Sector industries, and codes beginning with a GS represent Government Sector industries. The IOIC is a hierarchical classification. IOIC codes consisting of four alpha-numeric characters represent industries at the Summary (S) level of aggregation, IOIC codes consisting of five or six alpha-numeric characters represent industries at the Medium (M) and IOIC codes consisting of eight alpha-numeric characters represent industries at the Detailed (D) level of aggregation. The classifications of the Input-Output tables can be found at the following link http://www.statcan.gc.ca/nea-cen/hr2012-rh2012/data-donnees/aggregation-agregation/aggregation-agregation-eng.htm."
2,"Provincial and territorial data are available from 1997."
3,"Estimates of labour statistics associated with the geographic entity "Outside Canada" are not included in this table, but are included in the national estimates. They are published in another table (Table 36-10-0489-01).  As a result, the totals for Canada in this table do not correspond to the sum of its provinces and territories."
4,"Labour productivity is the ratio between real value added and hours worked. Real value added for each industry and each aggregate is constructed from a Fisher chain index."
5,"The North American Industry Classification System (NAICS) is an industry classification system triggered by the North American Free Trade Agreement, that was developed by the statistical agencies of Canada, Mexico and the United States. It is designed to provide common definitions of the industrial structure of the three countries and a common statistical framework to facilitate the analysis of the three economies. NAICS is based on supply side or production oriented principles, to ensure that industrial data, classified to NAICS, is suitable for the analysis of production related issues such as industrial performance. Since 1997, the industry classification system of the Canadian System of Macroeconomic Accounts input-output tables is based on NAICS. In the Macroeconomic Accounts industries, the levels of the different classification systems were chosen so as to provide the most detail possible in order to maximize continuity with the previous classification systems developed by Statistics Canada since 1961. For more details, see http://www.statcan.gc.ca/imdb-bmdi/5103-eng.htm."
6,"Total economic activities that have been realized within the country. This includes both business and non-business sectors."
7,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 11-81, with the exception of owner occupied dwellings industry."
8,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 11, 21, 22, 23, 31-33."
9,"This combines the business establishments of the North American Industry Classification System (NAICS) code 11. Starting in 2014, the crop production industry incorporates the activities related to cannabis."
10,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 111, 112."
11,"This combines the business establishments for the North American Industry Classification System (NAICS) code 111 excluding 1114."
12,"This combines the business establishments for the North American Industry Classification System (NAICS) code 112, excluding 1125"
13,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 1151, 1152."
14,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 212393, 212394, 212395, 212397, 212398."
15,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 213111, 213118."
16,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 213117, 213119."
17,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 2212, 2213."
18,"Special hybrid: corresponds to sections of the North American Industry Classification System (NAICS) code 23."
19,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 311-316, 321-327, 331-337, 339."
20,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3112, 3118, 3119."
21,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 31213, 31214."
22,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 313, 314."
23,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 315, 316."
24,"This combines the business establishments for the North American Industry Classification System (NAICS) code 324, excluding 32411."
25,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3255, 3256, 3259."
26,"This combines the business establishments for the North American Industry Classification System (NAICS) code 327, excluding 3273."
27,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3322, 3329."
28,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3332, 3333."
29,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 3343, 3345, 3346."
30,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 41, 44-45, 48-49, 51, 52, 53, 54, 55, 56, 61, 62, 71, 72, 81 with the exception of owner occupied dwelling industry."
31,"Starting in 2014, the miscellaneous store retailers industry incorporates the activities related to cannabis."
32,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 485, 487."
33,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 4852, 4854, 4855, 4859, 487."
34,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 4861, 4869."
35,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 491, 492."
36,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 51112, 51113, 51114, 51119."
37,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 51211, 51212, 51219."
38,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 521, 5221."
39,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 52211, 52219."
40,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 523, 526."
41,"This combines the business establishments for the North American Industry Classification System (NAICS) code 53. However, it differs from the Input-Output code BS53 since it excludes the industry of owner-occupied dwellings (BS5311A)."
42,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 5312, 5313."
43,"This combines the business establishments for the North American Industry Classification System (NAICS) code 532, excluding 5321."
44,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 5411, 5412."
45,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 5414, 5416, 5417, 5419."
46,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 5612, 5619."
47,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 6114-6117."
48,"This combines the business establishments for the North American Industry Classification System (NAICS) code 62, excluding 624."
49,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 6213, 6214, 6215, 6216, 6219."
50,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 711, 712."
51,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 7131, 7139."
52,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 7212, 7213."
53,"This combines the commercial establishments of the North American Industry Classification System (NAICS) code 81."
54,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 8112, 8113, 8114."
55,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 812, 814."
56,"This combines the business establishments for the North American Industry Classification System (NAICS) codes 8121, 8129."
57,"This combines the business establishments for the North American Industry Classification System (NAICS) code 813, excluding 8131."
58,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 11-81, with the exception of owner occupied dwellings industry, crop production (111), animal production (112)."
59,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 11-81, with the exception of owner occupied dwellings industry and private households."
60,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 41, 44-45, 48-49, 51, 52, 53, 54, 55, 56, 61, 62, 71, 72, 81 with the exception of owner occupied dwelling industry and private households."
61,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 21, 22, 31-33 and 562."
62,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 311-316, 322-326."
63,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 321, 327, 331-337, 339."
64,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 211, 2121, 212291, 21311A, 2211, 2212, 32411, 486."
65,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 4173, 5112, 517, 518, 5415, 8112 as well as 334, excluding 3345."
66,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 334, excluding 3345."
67,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 4173, 5112, 517, 518, 5415 and 8112."
68,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 52 and 55."
69,"This combines the non-commercial activities of two main components: the government sector (GS) and the non-profit institutions serving households sector (NP), but also including the owner occupied dwellings industry. More precisely, this industry is included in “Other non-profit institutions serving households (NPA000)”, part of NP."
70,"Starting from 2013, elementary and secondary schools include only schools under school boards management while before, schools managed directly by provincial or federal governments are also included."
71,"Starting from 2013, Community colleges and C.E.G.E.P.s include only colleges under provincial jurisdiction while before, colleges under federal jurisdiction are also included."
72,"Starting from 2013, these other education establishments include only establishments  under provincial jurisdiction while before, federal or municipal establishments are also included."
73,"Prior to 2013, government health services exclude "other government health services" (NAICS codes 624 and part of 621), while these services are included for the period thereafter."
74,"Prior to 2013, hospitals exclude "other government health services" (NAICS codes 624 and part of 621), while these services are included for the period thereafter. By contrast, beginning in 2013, only hospitals under the management of regional health authority are included while previously, hospitals under provincial or federal management are also included."
75,"Starting from 2013, defence services include military colleges while before, these colleges are excluded."
76,"Prior to 2013, provincial and territorial government services include "other government health services" (NAICS codes 624 and part of 621), while these services are excluded for the period thereafter."
77,"This combines local, municipal or aboriginal general government activities."



"How to cite: Statistics Canada. Table 36-10-0480-01  Labour productivity and related measures by business sector industry and by non-commercial activity consistent with the industry accounts"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610048001
