"REF_DATE","GEO","DGUID","Labour productivity and related measures","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Labour productivity","Printing and related support activities [BS323]","Chained (2017) dollars per hour","446","units","0","v111384190","1.7.79","36.7","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","709.6","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","1035.2","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","863.9","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","890.4","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","775.4","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","845.4","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","689.5","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","636.2","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","589.2","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","528.1","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","449.6","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","407.6","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","433.2","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","382.7","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","365.9","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","381.1","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","476.6","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","495.4","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","476.0","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","480.2","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","436.0","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","439.8","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","415.5","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","471.9","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","462.8","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","457.9","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Petroleum and coal product manufacturing [BS324]","Chained (2017) dollars per hour","446","units","0","v111384191","1.7.80","462.3","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","952.8","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","1323.3","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","1261.6","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","1362.1","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","1256.1","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","1372.8","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","1081.9","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","958.5","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","863.7","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","768.0","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","622.1","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","594.3","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","596.8","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","495.5","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","470.7","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","525.2","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","686.1","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","718.9","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","701.4","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","715.8","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","703.4","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","725.9","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","708.5","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","858.8","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","818.3","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","829.5","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Petroleum refineries [BS32411]","Chained (2017) dollars per hour","446","units","0","v111384192","1.7.81","840.5","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","226.3","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","308.4","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","248.0","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","193.0","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","167.1","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","215.4","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","186.2","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","169.5","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","176.3","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","161.5","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","137.1","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","118.2","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","143.8","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","143.0","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","143.9","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","121.8","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","131.5","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","128.1","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","118.5","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","123.8","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","100.7","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","89.0","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","76.9","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","89.1","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","99.2","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","97.6","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Petroleum and coal products manufacturing (except petroleum refineries) [BS3241A]","Chained (2017) dollars per hour","446","units","0","v111384193","1.7.82","92.2","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","99.2","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","105.3","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","109.3","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","128.7","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","127.8","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","132.5","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","125.1","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","126.9","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","128.6","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","127.7","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","124.9","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","118.0","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","109.3","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","112.1","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","117.1","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","114.3","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","122.3","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","115.3","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","116.0","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","123.0","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","120.0","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","127.0","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","127.6","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","136.1","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","137.5","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","135.2","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Chemical manufacturing [BS325]","Chained (2017) dollars per hour","446","units","0","v111384194","1.7.83","128.2","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","186.5","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","192.8","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","185.7","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","232.0","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","224.1","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","212.1","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","204.7","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","216.0","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","231.0","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","240.1","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","255.5","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","242.0","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","227.5","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","240.3","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","258.4","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","263.2","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","281.7","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","249.6","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","235.8","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","247.2","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","257.1","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","256.9","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","258.1","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","263.7","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","245.4","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","247.4","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Basic chemical manufacturing [BS3251]","Chained (2017) dollars per hour","446","units","0","v111384195","1.7.84","218.2","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","117.4","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","127.5","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","136.9","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","182.3","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","160.3","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","182.8","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","166.0","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","179.6","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","191.1","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","184.6","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","209.6","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","194.9","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","163.5","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","195.9","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","242.3","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","241.5","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","317.2","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","270.8","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","308.7","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","353.3","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","306.2","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","377.7","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","446.1","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","475.2","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS3252]","Chained (2017) dollars per hour","446","units","0","v111384196","1.7.85","477.6","","","","1"
